,Max V (increase),Max V (decrease),Max D (increase),Max D (decrease),Min S+R (increase),Min S+R (decrease),Max Mphi (increase),Max Mphi (decrease),Max T (increase),Max T (decrease),Max Lu (increase),Max Lu (decreased),Max Fu (increased),Max Fu (decreased),Total Fu (increase),Total Fu (decrease)
p_F_M,-4.66851904024068E-06,4.6686512538141E-06,-3.56455162497937E-06,3.56467692963491E-06,4.77808422183479E-06,-4.77820143907071E-06,-3.20852775681502E-06,3.20861008851203E-06,3.79062164457267E-06,-3.79056145971557E-06,-2.96901531759985E-06,2.96909078500995E-06,4.23341489965701E-05,-4.23341477795436E-05,0.0001765562546824920,-0.00017655629514279300
eta_F_M,4.44307628844065E-06,-4.91025084914387E-06,3.39261332937824E-06,-3.74932943225659E-06,-4.54733107324579E-06,5.02548641034828E-06,3.05359012364725E-06,-3.37467501776434E-06,-3.60706659896515E-06,3.98647328614388E-06,2.82564260212226E-06,-3.12275950375973E-06,-4.02872073487215E-05,4.45243603985901E-05,-0.00016802714271557700,0.00018570001419426800
k_lin_F,0.004830928140258760,-0.005136530038584610,0.004134515869767210,-0.004358533265961360,-0.004936604577279070,0.005249658872138910,0.0032795787651631600,-0.0034955651044783500,-0.0016247071352620800,0.0019358040527743800,0.003036341105123300,-0.0032365682107440300,-0.046962655816900700,0.05185186373844290,-0.04410003561269150,0.04840469712038950
k_int_F,0.003475323762263120,-0.0036324622651727800,0.0029030622542354200,-0.0030094903236584900,-0.0035526537752262900,0.0037138532107228200,0.0023525959789838500,-0.0024630702688871500,-0.0013888767480378900,0.0015772984661401900,0.0021781539165268700,-0.0022807685304240300,0.00044848283629472800,-0.00047119568565090500,0.0027188820928552000,-0.00290041793607021
k_B_F,-0.005115238672893650,0.005292914788735060,-0.004450942378597220,0.004630331309426030,0.005230442299744230,-0.0054104684099451900,-0.0035004812033415700,0.003610937458310650,0.001566685627326200,-0.0014571066252564400,-0.0032407500567139800,0.003342020875125360,-0.000720909955339577,0.0007391153383586870,-0.003750758230618990,0.003853008428787110
k_U_F,0.0012602308956937100,-0.001280318520372800,0.0010496797617696200,-0.0010631908115372700,-0.0012883963870367100,0.0013090506192599000,0.0008535831511982120,-0.0008677066180451390,-0.0005175932240494290,0.0005416870694952000,0.0007902731561393320,-0.0008034156078904340,0.0001766977376740360,-0.0001799269311845150,0.0009947246867312300,-0.0010322425249588200
R_F_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_F_I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM_F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K0,-0.0017987927928920800,0.0018191205983419900,-0.003873676019411800,0.003918885622828270,0.0026423929061787400,-0.0026705223829623900,-0.0013409910356163600,0.0013586067449948800,-0.002938542618030950,0.002967541899264740,-0.0012413057159608200,0.0012574826414337700,-0.0002480818093822950,0.0002505305104592020,-0.0009269323795519920,0.000913277300737203
del_I_K,-0.0012802258307486000,0.0012821817370345400,-0.003560154578400870,0.003588296699811980,0.0024976314542670700,-0.0025113717779862200,-0.0007096774274663040,0.0007099973395279240,-0.0033428379525434200,0.0033698190243751600,-0.0006628704525429850,0.0006637694946873830,-0.0001507896193417850,0.00015067104996813200,-0.003822547827807000,0.00382989219229124
del_T_K,3.62024351008294E-06,-3.62044630575209E-06,-3.62575497926398E-05,3.626091532416E-05,-6.17575371242296E-06,6.17666832058994E-06,2.44271121729867E-06,-2.44277040961638E-06,-0.00025578442638996,0.00025587830735629400,2.272386820934E-06,-2.27244423467443E-06,4.74570736264113E-07,-4.74590131305241E-07,0.00013989047099172100,-0.00013989022418448000
eps_K_L,-0.0002950667819263680,0.00031834570714783800,-0.0009597853364159410,0.0010371114580654000,0.0005907194380805340,-0.000637651727629418,-0.00015498512083356200,0.00016736783694693000,-0.0007607572070350570,0.000823183565899388,-0.0001451289429746930,0.00015671349432433400,-3.3825028072143E-05,3.64960215140098E-05,-0.00036350271156304600,0.0003962619012709560
eps_I_K,0.0011862844716523700,-0.0013052223618943400,0.0033190211636140400,-0.0036291010746157800,-0.0023226506024545100,0.0025458615027016400,0.0006569682089128120,-0.0007236409171229590,0.003115534793874280,-0.0034062824578612300,0.0006140617761689620,-0.0006759108130661720,0.00013941913261450400,-0.0001537525005697040,0.0035400037302051300,-0.003891892679214300
eps_T_K,-3.38459805260261E-06,3.73343495740919E-06,3.385919336929E-05,-3.73430934080821E-05,5.77393789735758E-06,-6.36841909962271E-06,-2.28367796495377E-06,2.51913018045613E-06,0.00023898682736800400,-0.0002635127508604510,-2.12444316938232E-06,2.34347532446222E-06,-4.43678118577928E-07,4.894139942202E-07,-0.0001306784116162920,0.00014414382468652700
eps_K_A,1.55226931033425E-05,-1.70670986602284E-05,4.68001467377466E-05,-5.12294308664396E-05,-4.21751871564346E-05,4.63587376540175E-05,8.55144362055249E-06,-9.40573129382116E-06,9.07236964986513E-05,-9.98130683007581E-05,8.02938891908411E-06,-8.83134417639653E-06,1.80444256003831E-06,-1.98440927567933E-06,0.00010081003807238500,-0.00011123723627748400
p_K_A,-1.72850630949517E-05,1.72728757661389E-05,-5.32738403612454E-05,5.34120079758171E-05,4.74187613550559E-05,-4.73530497905328E-05,-9.46452162753353E-06,9.46001281021403E-06,-0.00010209697382968000,0.00010185601463463800,-8.889515925814E-06,8.88518766739566E-06,-2.00234094083207E-06,2.00117355908525E-06,-0.00011253743878902900,0.00011204003197584600
p_K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d_K,0.0002633649052647960,-0.00026526448147434800,0.0005856685538681020,-0.0005665268159987800,-0.0005948281639955870,0.0006007579953548610,0.00016244005423882200,-0.00016332506585847700,0.001209121376472670,-0.0012353876934465500,0.00015165709364262100,-0.00015249622322965900,3.26119397950908E-05,-3.28228634856043E-05,0.0021192079472263100,-0.002237072427698770
KR,-0.000262158172693705,0.00026253363243866600,-0.0005894017861722830,0.0005910066629317700,0.000589737308940963,-0.0005916528925542510,-0.0001617363728986240,0.00016200871157878700,-0.00119078910924586,0.0011963145146856000,-0.00015099942538510100,0.00015125120777437200,-3.24784107694764E-05,3.25196013870599E-05,-0.002088255098265160,0.0021038629075949
